date;SP500;NASDAQ
2023-03-21-11-41;3977.67;12605.88
2023-03-21-11-42;3975.66;12597.95
2023-03-21-11-43;3977.12;12602.16
2023-03-21-11-44;3977.79;12604.12
2023-03-21-11-45;3974.53;12594.70
2023-03-21-11-46;3974.82;12595.44
2023-03-21-11-47;3972.43;12585.94
2023-03-21-11-48;3974.30;12592.70
2023-03-21-11-49;3974.20;12592.10
2023-03-21-11-50;3975.40;12597.36
2023-03-21-11-51;3976.96;12605.06
2023-03-21-11-52;3976.40;12604.84
2023-03-21-11-53;3974.81;12604.69
2023-03-21-11-54;3975.48;12604.98
2023-03-21-11-55;3976.50;12610.15
2023-03-21-11-56;3976.27;12610.34
2023-03-21-11-57;3975.63;12607.77
2023-03-21-11-58;3975.01;12606.65
2023-03-21-11-59;3974.74;12604.03
2023-03-21-12-00;3973.87;12599.16
